taxi_id,taxi_id
0.0,22
3.0,13
4.0,18
5.0,7
6.0,29
7.0,25
8.0,18
10.0,13
12.0,46
14.0,29
19.0,13
20.0,31
22.0,62
26.0,9
27.0,25
29.0,27
30.0,47
32.0,16
37.0,31
41.0,46
46.0,28
49.0,6
50.0,33
53.0,46
54.0,44
55.0,30
58.0,27
59.0,24
62.0,10
64.0,17
65.0,19
67.0,1
68.0,27
69.0,20
71.0,18
72.0,16
73.0,32
76.0,17
81.0,17
82.0,24
84.0,31
85.0,26
88.0,45
92.0,23
93.0,11
96.0,42
97.0,36
98.0,46
101.0,19
103.0,25
105.0,13
106.0,6
107.0,34
109.0,4
115.0,11
117.0,14
118.0,18
119.0,16
121.0,10
122.0,15
123.0,7
133.0,11
136.0,10
137.0,45
143.0,2
144.0,1
146.0,48
147.0,12
148.0,44
149.0,29
153.0,22
154.0,40
155.0,18
156.0,30
157.0,7
158.0,29
162.0,4
166.0,20
168.0,28
169.0,27
170.0,25
171.0,27
173.0,4
174.0,37
175.0,11
176.0,32
177.0,40
178.0,31
181.0,13
189.0,19
191.0,6
192.0,23
197.0,12
199.0,35
200.0,43
207.0,20
208.0,15
209.0,34
211.0,19
212.0,24
217.0,19
218.0,30
219.0,8
221.0,45
225.0,14
229.0,41
232.0,25
233.0,24
235.0,27
238.0,30
239.0,16
240.0,3
241.0,15
242.0,8
249.0,23
251.0,54
253.0,18
255.0,27
257.0,33
260.0,12
261.0,29
264.0,28
266.0,29
270.0,26
274.0,23
279.0,55
280.0,39
281.0,27
282.0,22
284.0,25
285.0,17
286.0,7
287.0,16
289.0,10
291.0,29
292.0,31
295.0,25
296.0,2
297.0,53
298.0,9
299.0,38
302.0,39
304.0,24
306.0,19
308.0,24
309.0,14
312.0,22
316.0,12
318.0,13
319.0,21
321.0,25
323.0,34
329.0,21
330.0,15
331.0,6
336.0,54
338.0,6
340.0,41
341.0,37
342.0,21
344.0,14
345.0,5
349.0,15
351.0,27
354.0,10
357.0,36
360.0,21
362.0,21
365.0,35
366.0,37
368.0,33
370.0,27
371.0,15
373.0,18
376.0,58
377.0,11
379.0,19
380.0,17
382.0,27
383.0,43
386.0,29
387.0,7
390.0,5
392.0,2
393.0,29
400.0,35
401.0,34
402.0,36
403.0,19
406.0,38
407.0,29
409.0,31
412.0,9
413.0,19
414.0,10
415.0,16
416.0,15
417.0,34
419.0,7
421.0,21
422.0,18
423.0,14
424.0,15
425.0,20
426.0,24
428.0,27
431.0,19
432.0,55
433.0,4
434.0,25
436.0,16
441.0,13
444.0,3
449.0,20
450.0,3
451.0,31
452.0,19
453.0,33
454.0,18
